Label,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
I11,249.85,80.14,83.24,74.68,0.119,0.31836985568931364,0.34616846206294305,0.24968677569126596,0.31836985568931364
I12,203.61,80.42,77.71,63.8,0.119,0.2809750651283901,0.3093495712737663,0.2221622727046771,0.19980785889399935
I13,227.29,80.0,76.34,69.59,0.119,0.21084164976645944,0.2034538574398617,0.28734021373338126,0.32292622136904703
I14,168.93,79.54,67.45,60.65,0.119,0.3028441965425963,0.35369428269226194,0.32292622136904703,0.3653119608231773
I15,196.53,75.0,75.92,67.64,0.119,0.32292622136904703,0.3509086689272973,0.3604804659224587,0.39997903643277827
I16,229.18,81.83,75.56,74.51,0.119,0.37998825340974246,0.4308638456737709,0.3509086689272973,0.3849407913279419
I17,226.09,82.8,78.8,70.01,0.119,0.31836985568931364,0.3509086689272973,0.26195604108022114,0.296050932778998
I18,221.51,78.6,75.03,73.09,0.119,0.2916800401674882,0.3509086689272973,0.31634048991285074,0.3509086689272973
I19,285.72,85.72,81.4,79.01,0.119,0.2916800401674882,0.341458779269087,0.31586793246247025,0.37212700332625825
I20,221.61,79.75,80.44,67.68,0.119,0.30045284808177225,0.37017378933516487,0.3093495712737663,0.341458779269087
J01,171.35,75.06,71.52,62.6,0.301,0.22455854015272647,0.3310565402586238,0.1727946387856095,0.3050487487339503
J02,172.16,74.47,71.96,67.44,0.301,0.2474113252455068,0.3011008487793618,0.18118203674800748,0.2723946939197729
J03,147.51,69.97,68.72,64.06,0.301,0.2622726270294729,0.36057657288938666,0.1975831285322399,0.3158334921093337
J04,174.66,73.26,71.11,65.23,0.301,0.21099338974100396,0.2891793425291728,0.2647871402679975,0.3023780962743914
J05,171.73,74.36,69.84,65.69,0.301,0.23294085752084678,0.31855507913346565,0.23532524131983362,0.25361546701747406
J06,170.19,71.51,73.21,65.4,0.301,0.20744368751212236,0.27368415719756684,0.18975358324884037,0.2839724277795483
J07,167.5,72.52,72.82,62.14,0.301,0.19103016660939448,0.2865706747023119,0.17906787117981807,0.2788072984651209
J08,184.5,77.19,72.95,65.38,0.301,0.2165594562661777,0.27113839494736464,0.24497229902002443,0.3023780962743914
J09,167.52,70.61,72.33,69.68,0.301,0.1719868687233397,0.23423436300454167,0.1707267181080462,0.2762404667265006
J10,169.91,75.88,72.51,62.66,0.301,0.19192508535282635,0.31042074644596135,0.19538748563764805,0.2891793425291728
J11,169.8,76.95,70.99,65.14,0.119,0.2809750651283901,0.30045284808177225,0.27029242866701153,0.30488574228102594
J12,165.95,71.58,70.79,66.69,0.119,0.2916800401674882,0.3367796674025019,0.2809750651283901,0.30045284808177225
J13,168.46,78.75,73.15,61.97,0.119,0.30045284808177225,0.3604804659224587,0.20878831452509763,0.2128881677608184
J14,159.91,72.59,71.02,61.92,0.119,0.27875393179610863,0.3509086689272973,0.28303149665373734,0.31384429064922675
