Label,Variety,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
J09,HL862,167.52,70.61,72.33,69.68,0.301,0.1719868687,0.234234363,0.1707267181,0.2762404667
J10,HL862,169.91,75.88,72.51,62.66,0.301,0.1919250854,0.3104207464,0.1953874856,0.2891793425
J11,HL862,169.8,76.95,70.99,65.14,0.119,0.2809750651,0.3004528481,0.2702924287,0.3048857423
J12,HL862,165.95,71.58,70.79,66.69,0.119,0.2916800402,0.3367796674,0.2809750651,0.3004528481
J13,HL862,168.46,78.75,73.15,61.97,0.119,0.3004528481,0.3604804659,0.2087883145,0.2128881678
J14,HL862,159.91,72.59,71.02,61.92,0.119,0.2787539318,0.3509086689,0.2830314967,0.3138442906
J15,HL862,180.86,75.48,72.71,69.21,0.119,0.2830314967,0.332131173,0.2852862161,0.3093495713
J16,HL862,165.89,71.1,69.62,66.42,0.119,0.23170442,0.2377008641,0.3341355632,0.3434519544
J17,HL862,146.81,72.28,66.36,61.21,0.119,0.3275133424,0.3367796674,0.2830314967,0.3024881345
J18,HL862,166.22,73.67,70.22,61.7,0.119,0.2476207076,0.3024881345,0.2830314967,0.3229262214
J19,HL862,161.96,73.34,70.38,63.27,0.119,0.3254934435,0.3849407913,0.2852862161,0.289384738
J20,HL862,170.34,70.95,74.13,61.47,0.119,0.2809750651,0.3254934435,0.3138442906,0.3434519544
K01,B143,188.23,76.16,75.81,62.27,0.301,0.2007249138,0.266078612,0.1686704099,0.2462663137
K02,B143,185.09,76.98,76.75,62.44,0.301,0.1336651316,0.2686032049,0.1506895015,0.2711383949
K03,B143,199.23,80.97,77.21,61.53,0.301,0.153878622,0.2997177097,0.0835969927,0.1761384268
K04,B143,226.88,79.98,82.87,68.89,0.301,0.1761384268,0.2762404667,0.1449077427,0.204237732
K05,B143,162.3,73.36,69.81,60.9,0.301,0.1906448142,0.3104207464,0.2016662778,0.3091481377
K06,B143,189.26,79.77,72.48,67.73,0.301,0.1963022787,0.3172876622,0.0966171685,0.2224757608
K07,B143,234.61,87.07,81.14,67.78,0.301,0.1336651316,0.2165594563,0.1790678712,0.2698481986
K08,B143,225.24,80.28,81.05,64.23,0.301,0.1398911495,0.244972299,0.1025395824,0.2074436875
K09,B143,223.63,85.67,77.57,65.12,0.301,0.0825294339,0.1790678712,0.1748741515,0.2390145052
K10,B143,248.93,75.61,82.37,73.51,0.301,0.220157097,0.2307879199,0.1740568856,0.1888685332
K11,B143,214.11,82.73,76.17,65.68,0.119,0.2702924287,0.2787539318,0.2496867757,0.2830314967
K12,B143,193,81.12,74.29,64.32,0.119,0.1840760991,0.2437222622,0.2437222622,0.2640117803
K13,B143,181.23,77.36,77.68,58.28,0.119,0.1704340616,0.1840760991,0.1890618881,0.1961938406
K14,B143,200.47,78.76,77.67,62.2,0.119,0.2259993797,0.2496867757,0.2298682063,0.2397580743
K15,B143,247.1,87.93,83.54,67.93,0.119,0.1910885342,0.1875663938,0.21458337,0.2071317999
K16,B143,211.69,82.15,77.42,63.92,0.119,0.2071317999,0.235825217,0.1553328459,0.1489750608
K17,B143,189.25,80.03,73.07,64.76,0.119,0.2337687141,0.2242150153,0.2745075617,0.2702924287
K18,B143,214.58,80.87,79.95,65.48,0.119,0.2416646175,0.2537451008,0.1855440248,0.1820582838
K19,B143,190.35,79.18,74.61,62.56,0.119,0.2377008641,0.2516792778,0.2437222622,0.2558024166
K20,B143,199.79,79.74,77.22,65.91,0.119,0.2221622727,0.2108416498,0.2702924287,0.289384738
L01,HL648,175,70,72,64,0.301,0.2775194912,0.3310565403,0.240126913,0.3091481377
L02,HL648,161,65,66,69,0.301,0.2878956033,0.3450762281,0.3091481377,0.3282825904
L03,HL648,155,70,64,68,0.301,0.2142637164,0.3200212093,0.2788072985,0.3422523906
L04,HL648,190,75,71,71,0.301,0.2673123391,0.2997177097,0.2984390395,0.3651185641
L05,HL648,172,67,75,64,0.301,0.2775194912,0.346322395,0.2685545551,0.3523642686
L06,HL648,194,71,73,70,0.301,0.2892296112,0.3680207698,0.2957875843,0.349153672
L07,HL648,189,75,73,63,0.301,0.2736596285,0.3536069953,0.262272627,0.3104207464
L08,HL648,186,69,77,67,0.301,0.2957875843,0.3435009528,0.2685545551,0.3255187005
L09,HL648,171,70,72,63,0.301,0.2698481986,0.3450762281,0.2826865288,0.3394384754
L10,HL648,163,68,69,70,0.301,0.2931465092,0.3826762483,0.2957875843,0.3738541576
L11,HL648,180,72,73,67,0.119,0.334770309,0.4101545598,0.3209014546,0.3721270033
L12,HL648,206,71,74,72,0.119,0.3394550927,0.4361155002,0.3585021336,0.4308638457
L13,HL648,237,76,75,79,0.119,0.3414587793,0.4018828911,0.3604804659,0.4204496328
L14,HL648,197,70,71,74,0.119,0.2940026187,0.3461684621,0.2852862161,0.332131173
L15,HL648,170,72,71,62,0.119,0.3536942827,0.4237751052,0.348917127,0.3918448134
L16,HL648,155,65,68,64,0.119,0.3633406316,0.441396784,0.3536942827,0.4256418725
L17,HL648,173,70,68,66,0.119,0.3138442906,0.368209728,0.3509086689,0.4134003702
L18,HL648,213,75,76,69,0.119,0.3414587793,0.4185727154,0.3633406316,0.3980641192
L19,HL648,170,73,65,67,0.119,0.3138442906,0.3980641192,0.3209014546,0.393012468
L20,HL648,184,73,70,72,0.119,0.3461684621,0.441396784,0.3868704942,0.4485200651
